Time	PM2.5	PM10	SO2	NO2
0	94	99.8	23.2	65.4
1	86.8	93.1	21	73
2	78.4	86.9	18.2	83
3	109.1	125.7	42.2	96.5
4	120.1	140	30.7	81.8
5	110	112.6	26.9	80.4
6	78.7	87.6	28.3	84
7	66.3	81.2	27.7	80.3
8	67.6	78.1	19.8	68
9	25.9	29.8	9.7	38.9
10	21.7	28.1	9.9	39.6
11	20.3	25.9	6.6	27.4
12	14.2	19.8	9.5	16.4
13	9.3	81.6	8.2	17
14	9.9	36.5	8.8	16
15	14.1	49.2	6.2	13.8
16	14	47.5	4.6	16
17	16.2	23.9	6.1	25.6
18	22	23.7	5.2	25.5
19	22.8	51.6	5.6	28
20	32.3	62	7.2	50.1
21	46.8	78.1	12.1	71
22	51.3	81.6	12.2	46.4
23	64.6	94.5	17.8	60.2
